order_id,order_status
1,CLOSED
2,PENDING_PAYMENT
3,COMPLETE
4,CLOSED
5,COMPLETE
6,COMPLETE
7,COMPLETE
8,PROCESSING
9,PENDING_PAYMENT
10,PENDING_PAYMENT
11,PAYMENT_REVIEW
12,CLOSED
13,PENDING_PAYMENT
14,PROCESSING
15,COMPLETE
16,PENDING_PAYMENT
17,COMPLETE
18,CLOSED
19,PENDING_PAYMENT
20,PROCESSING
21,PENDING
22,COMPLETE
23,PENDING_PAYMENT
24,CLOSED
25,CLOSED
26,COMPLETE
27,PENDING_PAYMENT
28,COMPLETE
29,PROCESSING
30,PENDING_PAYMENT
31,PAYMENT_REVIEW
32,COMPLETE
33,PENDING_PAYMENT
34,PROCESSING
35,COMPLETE
36,PENDING
37,CLOSED
38,PROCESSING
39,PENDING
40,PENDING_PAYMENT
41,PENDING_PAYMENT
42,PENDING
43,PENDING_PAYMENT
44,PENDING
45,COMPLETE
46,ON_HOLD
47,PENDING_PAYMENT
48,PROCESSING
49,PENDING
50,CANCELED
51,CLOSED
52,PENDING_PAYMENT
53,PROCESSING
54,PENDING_PAYMENT
55,PENDING
56,COMPLETE
57,CLOSED
58,PENDING_PAYMENT
59,PENDING_PAYMENT
60,PENDING_PAYMENT
61,CLOSED
62,CLOSED
63,COMPLETE
64,PENDING_PAYMENT
65,COMPLETE
66,ON_HOLD
67,COMPLETE
68,PENDING
69,SUSPECTED_FRAUD
70,PENDING_PAYMENT
71,COMPLETE
72,COMPLETE
73,PENDING_PAYMENT
74,PENDING_PAYMENT
75,PENDING_PAYMENT
76,COMPLETE
77,PENDING_PAYMENT
78,PAYMENT_REVIEW
79,PENDING_PAYMENT
80,COMPLETE
81,PROCESSING
82,PENDING_PAYMENT
83,COMPLETE
84,PROCESSING
85,PENDING
86,PENDING_PAYMENT
87,CLOSED
88,COMPLETE
89,ON_HOLD
90,CLOSED
91,COMPLETE
92,COMPLETE
93,PENDING_PAYMENT
94,PROCESSING
95,COMPLETE
96,PENDING
97,PENDING
98,COMPLETE
99,PENDING_PAYMENT
100,PROCESSING
101,CLOSED
102,COMPLETE
103,PROCESSING
104,PENDING_PAYMENT
105,COMPLETE
106,PROCESSING
107,COMPLETE
108,PROCESSING
109,PENDING_PAYMENT
110,COMPLETE
111,PROCESSING
112,CANCELED
113,PENDING_PAYMENT
114,COMPLETE
115,PROCESSING
116,CLOSED
117,SUSPECTED_FRAUD
118,COMPLETE
119,PENDING_PAYMENT
120,PENDING_PAYMENT
121,PENDING
122,PROCESSING
123,PENDING_PAYMENT
124,COMPLETE
125,PENDING_PAYMENT
126,COMPLETE
127,PENDING_PAYMENT
128,PENDING_PAYMENT
129,CLOSED
130,PENDING_PAYMENT
131,PROCESSING
132,PENDING
133,CLOSED
134,PENDING_PAYMENT
135,COMPLETE
136,PENDING_PAYMENT
137,COMPLETE
138,PROCESSING
139,COMPLETE
140,PENDING_PAYMENT
141,COMPLETE
142,PENDING_PAYMENT
143,COMPLETE
144,PROCESSING
145,ON_HOLD
146,COMPLETE
147,PENDING_PAYMENT
148,PROCESSING
149,COMPLETE
150,PROCESSING
151,ON_HOLD
152,COMPLETE
153,COMPLETE
154,ON_HOLD
155,PENDING_PAYMENT
156,ON_HOLD
157,ON_HOLD
158,PENDING
159,PENDING_PAYMENT
160,COMPLETE
161,PENDING_PAYMENT
162,PENDING_PAYMENT
163,COMPLETE
164,PROCESSING
165,PENDING_PAYMENT
166,PROCESSING
167,PENDING
168,PENDING_PAYMENT
169,ON_HOLD
170,PAYMENT_REVIEW
171,COMPLETE
172,COMPLETE
173,ON_HOLD
174,COMPLETE
175,COMPLETE
176,PENDING_PAYMENT
177,PENDING_PAYMENT
178,COMPLETE
179,COMPLETE
180,ON_HOLD
181,PENDING
182,COMPLETE
183,COMPLETE
184,COMPLETE
185,PENDING_PAYMENT
186,COMPLETE
187,PAYMENT_REVIEW
188,PENDING
189,PENDING
190,PENDING
191,CLOSED
192,PROCESSING
193,PROCESSING
194,PENDING_PAYMENT
195,PROCESSING
196,PROCESSING
197,PROCESSING
198,PENDING_PAYMENT
199,ON_HOLD
200,PAYMENT_REVIEW
201,CLOSED
202,PENDING_PAYMENT
203,PENDING_PAYMENT
204,PENDING_PAYMENT
205,PROCESSING
206,PENDING
207,COMPLETE
208,PROCESSING
209,PENDING
210,COMPLETE
211,CLOSED
212,PENDING
213,CLOSED
214,COMPLETE
215,CLOSED
216,PENDING
217,PROCESSING
218,COMPLETE
219,PROCESSING
